Product Name,Product ID,Listing Price,Sale Price,Discount,Brand,Description,Rating,Reviews,Last Visited,Gender,Product Type,Popularity
MEN'S ADIDAS RUNNING LEGUS SHOES,CJ8061,59.99,29.99,50,Adidas CORE / NEO,"MEN'S ADIDAS RUNNING LEGUS SHOES: Get maximum support, comfort and a refreshed look with these adidas Legus shoes for men. The textile mesh upper is breathable and has a sock-like fit and the supportive cage in the shoe's midfoot provides midfoot lockdown. CLOUDFOAM gives instant step in-comfort, long-lasting responsive cushioning and a super-plush feel and the Rubber outsole gives ultimate durability.",3.7,92,2020-04-13 15:06:32,Men's product,footwear,very high popularity
Women's adidas Originals Forest Grove Shoes,EE5847,65.99,39.59,40,Adidas ORIGINALS,"Women's adidas Originals Forest Grove Shoes: Inspired by a game-changing running shoes from the archives, this shoe is built for everyday wear. A suede and nylon upper shows off classic 3-Stripes styling. A mesh-wrapped EVA midsole echoes vintage looks from the archives.",4.7,20,2020-04-13 15:06:32,Women's product,footwear,low popularity
Men's adidas Sport Inspired Nebular 2 Shoes,CK9686,49.99,24.99,50,Adidas CORE / NEO,Men's adidas Sport Inspired Nebular 2 Shoes: Style and performance go hand in hand in this adidas running-inspired shoes for men. Featuring Textile-Mesh upper for lightweight and breathability with Rubber outsole for durability.,4.1,43,2020-04-13 15:06:32,Men's product,footwear,medium popularity
Women's adidas Originals U_Path X Shoes,EE4567,75.99,45.59,40,Adidas ORIGINALS,"Women's adidas Originals U_Path X Shoes: With a sleek feel and futuristic look, the U_Path shoe represents the next generation of track-inspired streetwear. These shoes come with a lightweight mesh upper. A leather heel cap adds luxe texture.",4.4,85,2020-04-13 15:06:32,Women's product,footwear,very high popularity
Women's adidas Originals Continental 80 Strap Shoes,EE5585,79.99,47.99,40,Adidas ORIGINALS,"Women's adidas Originals Continental 80 Strap Shoes: These Continental 80 shoes are a faithful remake of an archive fitness and tennis style. A supple leather upper and a double cupsole stay true to the original design. Three straps replace the laces to give them a retro vibe. An allover seasonal color creates a clean, minimalist look.",3.8,37,2020-04-13 15:06:32,Women's product,footwear,medium popularity
WOMEN'S ADIDAS RUNNING QUESA SHOES,B96519,69.99,34.99,50,Adidas CORE / NEO,"WOMEN'S ADIDAS RUNNING QUESA SHOES: Carve new paths in these trail running shoes. Featuring a women's-specific design, they combine the soft step-in feel of a sock-like fit with cloud-like cushioning for a comfortable run. A rugged trail-specific outsole rounds out the sporty look.",5.0,31,2020-04-13 15:06:32,Women's product,footwear,medium popularity
WOMEN'S ADIDAS SPORT INSPIRED RUN 70S SHOES,B96563,65.99,26.4,60,Adidas CORE / NEO,WOMEN'S ADIDAS SPORT INSPIRED RUN 70S SHOES: Modern design meets retro style. A two-tone knit upper with welded 3-Stripes updates the classic '70s look of these women's running-inspired shoes. A lightweight midsole provides cushioned comfort with every step.,2.8,16,2020-04-13 15:06:32,Women's product,footwear,low popularity
Men's adidas Running Whizz Shoes,CL7547,55.99,27.99,50,Adidas CORE / NEO,"Men's adidas Running Whizz Shoes: These men's running shoes keep you comfortable so you stay focused on your running goals. They feature a textile upper that wraps around the midfoot to give you stability where you need it most. Cloudfoam cushioning offers comfort with every stride, while a handy heel pull helps you get them on in a hurry.",4.7,42,2020-04-13 15:06:32,Men's product,footwear,medium popularity
Women's adidas Originals U_Path X Shoes,EE4563,75.99,45.59,40,Adidas ORIGINALS,"Women's adidas Originals U_Path X Shoes: With a sleek feel and futuristic look, the U_Path shoe represents the next generation of track-inspired streetwear. These shoes come with a lightweight mesh upper. A leather heel cap adds luxe texture.",4.2,82,2020-04-13 15:06:32,Women's product,footwear,very high popularity
Women's adidas Running Bolter Shoes,CK9714,42.99,21.49,50,Adidas CORE / NEO,"Women's adidas Running Bolter Shoes: These women's running shoes keep you comfortable so you stay focused on your running goals. They feature a breathable mesh upper with a comfort collar, while a moulded overlay provides lightweight support. The plush Cloudfoam midsole delivers ultra-soft cushioning.",2.0,24,2020-04-13 15:06:32,Women's product,footwear,low popularity
Women's adidas Sports Inspired Court Adapt Shoes,F36475,52.99,26.49,50,Adidas CORE / NEO,Women's adidas Sports Inspired Court Adapt Shoes: Step up your style game off the court. These tennis-inspired shoes have a sleek look made from a soft knit upper. The sock-like construction rides on a smooth rubber outsole. A cushioned sockliner provides all-day comfort.,4.6,84,2020-04-13 15:06:32,Women's product,footwear,very high popularity
Women's adidas Running Duramo SL Shoes,FV8794,55.99,55.99,0,Adidas CORE / NEO,"Women's adidas Running Duramo SL Shoes: Variety keeps you motivated. For running, lifting or playing pickup games, these running shoes are all about versatile comfort. They have a lightweight build with pillow-like cushioning. No-sew overlays support the foot through quick bursts and lateral movements.",5.0,44,2020-04-13 15:06:32,Women's product,footwear,medium popularity
Women's adidas Originals NMD_R1 Shoes,EE5177,129.99,77.99,40,Adidas ORIGINALS,"Women's adidas Originals NMD_R1 Shoes: Taking style cues from premium technical outerwear, these women's shoes blend adidas archive heritage with modern comfort. The stretchy knit upper is accented with reflective details. EVA plugs accent the Boost midsole, adidas' most responsive cushioning ever.",3.0,76,2020-04-13 15:06:32,Women's product,footwear,very high popularity
Men's adidas Sport Inspired Kaptur Shoes,CL7582,45.99,22.99,50,Adidas CORE / NEO,"Men's adidas Sport Inspired Kaptur Shoes: These lightweight running-inspired shoes for men give all round comfort, cushioning, durability & support in a simplistic design. The two-tone mesh upper ensure breathability and durability. Lightstrike EVA midsole gives you cushioning you need everyday and Rubber outsole provides durability.",3.8,12,2020-04-13 15:06:32,Men's product,footwear,low popularity
WOMEN'S ADIDAS RUNNING ASWEERUN SHOES,F36339,49.99,49.99,0,Adidas CORE / NEO,"WOMEN'S ADIDAS RUNNING ASWEERUN SHOES: Aspire to greatness. These running shoes for women are made with an airy, lightweight mesh upper. The durable rubber outsole grips the pavement for added stability. A cushioned midsole brings comfort to each step.",4.1,39,2020-04-13 15:06:32,Women's product,footwear,medium popularity
Women's adidas Originals Falcon Shoes,EF1963,79.99,47.99,40,Adidas ORIGINALS,"Women's adidas Originals Falcon Shoes: The rebellious spirit of the '90s music and fashion world brought bold lines and clashing colors. These shoes capture the flavor of that decade with aggressive, swerving shapes and a mix of soft mesh, leather and suede. The ombr̩-dyed upper offers a color-fade effect.",2.2,12,2020-04-13 15:06:32,Women's product,footwear,low popularity
Women's adidas Sport Inspired VS Advantage Clean Shoes,F34442,45.99,22.99,50,Adidas CORE / NEO,"Women's adidas Sport Inspired VS Advantage Clean Shoes: Simple, stable and straightforward design for timeless court style. These women's tennis-inspired shoes feature perforated 3-Stripes on a textile upper for a classic look. A textile lining gives them a comfortable feel.",4.1,26,2020-04-13 15:06:32,Women's product,footwear,medium popularity
Women's adidas Running Sooraj Shoes,EE9933,55.99,55.99,0,Adidas CORE / NEO,"Women's adidas Running Sooraj Shoes: Fast and sleek. Ready to go. These women's running shoes feature a streamlined, low-profile design and pillow-soft Cloudfoam cushioning for plush landings. The mesh upper delivers a speedy look in fun colours and 3-Stripes.",4.2,89,2020-04-13 15:06:32,Women's product,footwear,very high popularity
Unisex adidas Originals Skateboarding 3MC Shoes,EE6090,59.99,35.99,40,Adidas ORIGINALS,"Unisex adidas Originals Skateboarding 3MC Shoes: Designed for skate but with an easy, everyday style. These shoes have a durable canvas and nylon upper that holds up to regular skate sessions. A flexible rubber outsole provides superior grip on your board. Targeted cushioning in the heel helps absorb impact for when you're riding hard.",2.4,16,2020-04-13 15:06:32,Unisex product,footwear,low popularity
