Product Name,Sale Price,Listing Price,Currency,Color,Description,Country,Rating,Reviews,Gender,Product Type,Popularity
FutureNatural Shoes,84.0,120.0,USD,Blue,"FutureNatural Shoes: Trends change, but feet remain the same. Made for running and training, these adidas shoes were designed to work with the foot to support natural movement in every direction. A smooth transition between the adidas Primeknit upper and injected PU midsole provides a seamless fit and unrestricted feel. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",USA,4.5,204,Men's product,footwear,very high popularity
Marvel Superhero Racer TR 2.0 Shoes,35.0,43.0,USD,Black,"Marvel Superhero Racer TR 2.0 Shoes: For the toddler in your family who's already always on the move, keep their feet cozy in these adidas shoes. The soft upper and lightweight midsole let them explore the big new world in comfort and confidence.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",USA,5.0,9,Other,footwear,low popularity
Primegreen Essentials Warm-Up Slim 3-Stripes Track Jacket,40.0,50.0,USD,Blue,"Primegreen Essentials Warm-Up Slim 3-Stripes Track Jacket: Dash out the door feeling ready for it all. This track jacket has a slim cut with raglan sleeves for a distraction-free feel while warming up or recovering later on. Side pockets keep a bus pass and music player within reach. 

This product is made with Primegreen, a series of high-performance recycled materials.",USA,4.7,14,Women's product,clothing,low popularity
Sherpa Jacket,120.0,150.0,USD,Black,"Sherpa Jacket: Get the best of ease and style in this adidas Sherpa jacket. Super-soft, ultra fluffy fleece blankets you in comfort. Its voluminous balloon shape, emphasized by elastic on the waist and cuffs, ensures a standout look. Layered pockets play up the drama even more. Statement made.",USA,4.0,2,Women's product,clothing,low popularity
Sherpa Jacket,120.0,150.0,USD,White,"Sherpa Jacket: Get the best of ease and style in this adidas Sherpa jacket. Super-soft, ultra fluffy fleece blankets you in comfort. Its voluminous balloon shape, emphasized by elastic on the waist and cuffs, ensures a standout look. Layered pockets play up the drama even more. Statement made.",USA,4.0,2,Women's product,clothing,low popularity
Yoga Pants,56.0,70.0,USD,Green,"Yoga Pants: Find your bliss in these adidas yoga pants. AEROREADY wicks away moisture as you try to hold your Scorpion Pose one more second. The soft French terry build might make you not want to get up from Corpse Pose. But achieving that reset feeling afterwards brings you back every time.

This product is made with Primegreen, a series of high-performance recycled materials.",USA,4.8,20,Men's product,clothing,low popularity
AEROREADY Designed 2 Move Feelready Sport Long Sleeve Tee,24.0,30.0,USD,Green,"AEROREADY Designed 2 Move Feelready Sport Long Sleeve Tee: This long sleeve tee is made for busy days. From working out to hauling the kids around town, you'll appreciate the smart design details at every step. Its FreeLift design means an enhanced range of motion and extra coverage at the back. 

This product is made with Primegreen, a series of high-performance recycled materials.",USA,4.7,104,Men's product,clothing,high popularity
Essentials French Terry 3-Stripes Hoodie,42.0,60.0,USD,Blue,"Essentials French Terry 3-Stripes Hoodie: Cool nights and early mornings call for the solid, reliable warmth of this adidas hoodie. The classic design is inspired by old-school workout gear from the adidas archive. Hot tip: One of the best ways to settle into a feeling of ease? Soft French terry fabric. Which is exactly what this is made of. So zip in, and get comfortable. You really don't have a choice.",USA,4.9,88,Men's product,clothing,medium popularity
Fluidflash Shoes,60.0,85.0,USD,White,"Fluidflash Shoes: You never blend in. So pair your attitude with your look in these adidas Fluidflash Shoes. A design inspired by outer space levels up your sneaker game. Luxe, lightweight softness makes you feel like you're walking in zero gravity. Liftoff.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",USA,4.2,120,Other,footwear,high popularity
Essentials Slim Logo Shorts,18.0,25.0,USD,Grey,"Essentials Slim Logo Shorts: Go ahead and settle in. Not only do you deserve it, but these adidas shorts make it easy. Soft French terry material is to thank for that. Also, shout out to the drawcord-adjustable waist, which lets you personalize the fit to your liking. While we're giving credit, the side slits on the hem should be given their dues for making sure you move without restriction in total comfort.",USA,4.8,54,Women's product,clothing,medium popularity
