Product Name,Sale Price,Listing Price,Currency,Color,Description,Country,Rating,Reviews,Gender,Product Type,Popularity
ZX 1K Boost Shoes,77.0,110.0,USD,Grey,"ZX 1K Boost Shoes: The ZX line pioneered a new approach to speed. It raised the bar in comfort and style. Now, it's taking on cool weather. Made with a winterized sole and suede overlays, these adidas shoes keep your stride steady and your feet warm as you cruise through chilly days in the city. Reflective details ensure your style always shines. Plus, double the comfort with EVA and Boost underfoot. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",USA,5.0,1,Men's product,footwear,low popularity
ZX 1K Boost Shoes,70.0,100.0,USD,Black,"ZX 1K Boost Shoes: In a constantly evolving world, keeping up is just part of the routine. Stay on top of it in these airy knit mesh adidas shoes. The ZX series has merged technology with culture since the '80s. Today a combination of Boost and EVA cushioning keeps you comfortable as you charge through the day.",USA,3.9,515,Other,footwear,very high popularity
ZX 1K Boost Shoes,77.0,110.0,USD,Black,"ZX 1K Boost Shoes: The ZX line pioneered a new approach to speed. It raised the bar in comfort and style. Now, it's taking on cool weather. Made with a winterized sole and suede overlays, these adidas shoes keep your stride steady and your feet warm as you cruise through chilly days in the city. Reflective details ensure your style always shines. Plus, double the comfort with EVA and Boost underfoot. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",USA,5.0,1,Men's product,footwear,low popularity
ZX 1K Boost Shoes,70.0,100.0,USD,Grey,"ZX 1K Boost Shoes: The ZX series entered the scene in the '80s and took hold of running culture with its groundbreaking approach to speed. These adidas ZX 1K Boost Shoes might not be about performance anymore, but that doesn't mean they're slowing down. Forever forward focused, the progressive silhouette doubles up on comfort with a plush Boost and EVA midsole combo. The mesh upper is accented with synthetic overlays.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",USA,4.2,77,Women's product,footwear,medium popularity
ZX 1K Boost Shoes,70.0,100.0,USD,Pink,"ZX 1K Boost Shoes: The ZX series entered the scene in the '80s and took hold of running culture with its groundbreaking approach to speed. These adidas ZX 1K Boost Shoes might not be about performance anymore, but that doesn't mean they're slowing down. Forever forward focused, the progressive silhouette doubles up on comfort with a plush Boost and EVA midsole combo. The mesh upper is accented with synthetic overlays.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",USA,4.2,77,Women's product,footwear,medium popularity
Grand Court Shoes,52.0,65.0,USD,White,Grand Court Shoes: Tennis shoe style reached a pinnacle in the 1970s and has never looked back. Bring some heritage vibes to your daily-wear wardrobe with these adidas shoes. Coated leather is durable with a premium finish. The rubber outsole completes the throwback look. Star Wars™ graphics add a unique touch.,USA,4.7,838,Men's product,footwear,very high popularity
Marathon 20 Shorts,21.0,26.0,USD,Black,"Marathon 20 Shorts: Meet the workhorse of workout wear. Soft and breathable, these adidas running shorts are sporty and super comfortable. AEROREADY helps keep moisture off your skin and your mind on your run. Now you're ready for anything.",USA,4.8,349,Women's product,clothing,very high popularity
ZX 1K Boost Shoes,70.0,100.0,USD,White,"ZX 1K Boost Shoes: The ZX series entered the scene in the '80s and took hold of running culture with its groundbreaking approach to speed. These adidas ZX 1K Boost Shoes might not be about performance anymore, but that doesn't mean they're slowing down. Forever forward focused, the progressive silhouette doubles up on comfort with a plush Boost and EVA midsole combo. The mesh upper is accented with synthetic overlays.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",USA,4.2,77,Women's product,footwear,medium popularity
Multix Shoes,56.0,80.0,USD,White,"Multix Shoes: They say the morning sets the tone for the day. So why not start it off with a win and lace into these adidas Multix Shoes? They're straight from the track, so they know about a fast pace, comfort and the push to the finish line. (Yes, we're getting metaphorical here.)

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",USA,4.2,350,Women's product,footwear,very high popularity
X9000L3 Shoes,96.0,120.0,USD,White,"X9000L3 Shoes: Your avatar might wear futuristic shoes like these, but you can wear them in real life. Made for short to mid-distance runs, these adidas running shoes have a sculpted Jetboost midsole that returns energy and adds stability. 

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content.",USA,4.3,8,Women's product,footwear,low popularity
Marathon 20 Shorts,27.0,30.0,USD,Red,"Marathon 20 Shorts: Meet the workhorse of workout wear. Soft and breathable, these adidas running shorts are sporty and super comfortable. AEROREADY helps keep moisture off your skin and your mind on your run. Now you're ready for anything.",USA,4.8,349,Women's product,clothing,very high popularity
Multix Shoes,56.0,80.0,USD,Yellow,"Multix Shoes: They say the morning sets the tone for the day. So why not start it off with a win and lace into these adidas Multix Shoes? They're straight from the track, so they know about a fast pace, comfort and the push to the finish line. (Yes, we're getting metaphorical here.)

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",USA,4.2,350,Women's product,footwear,very high popularity
LOUNGEWEAR Adicolor Essentials Tee,20.0,25.0,USD,Green,"LOUNGEWEAR Adicolor Essentials Tee: The limits of this adidas t-shirt are essentially non-existent. Which is perfect, since boundaries aren't really your thing. The loose shape lets you keep things casual should you choose, but the solid color means it's total playtime whenever you want to clash it with some in-your-face prints. Balance, you know?

Our cotton products support sustainable cotton farming. This is part of our ambition to end plastic waste.",USA,4.6,344,Women's product,clothing,very high popularity
Ultralight Allover Graphic Crew Performance Socks,13.0,18.0,USD,White,"Ultralight Allover Graphic Crew Performance Socks: Not all socks are created equal. These adidas crew socks are built for tough training sessions. Sleek and lightweight, they hug your foot like a second skin. AEROREADY wicks moisture, so you stay dry from first rep to last. 

This product is made with Primegreen, a series of high-performance recycled materials.",USA,4.6,62,Other,accessories,medium popularity
